Name,StateName,Female_pct_1901,Female_pct_1911,Female_pct_1921,Female_pct_1931,Female_pct_1941,Female_pct_1951,Female_pct_1961,Female_pct_1971,Female_pct_1981,Female_pct_1991,Female_pct_2001,Female_pct_2011,Pct_var_since_last_1911,Pct_var_since_last_1921,Pct_var_since_last_1931,Pct_var_since_last_1941,Pct_var_since_last_1951,Pct_var_since_last_1961,Pct_var_since_last_1971,Pct_var_since_last_1981,Pct_var_since_last_1991,Pct_var_since_last_2001,Pct_var_since_last_2011,AvgPopGrowth,AvgFemPct,FemaleMWpct_Rural,FemaleMWpct_Urban,MaleMWpct_Rural,MaleMWpct_Urban,TotMWpct,Label_KME5,Label_KMC6,Label_HCC7
NICOBARS,ANDAMANNICOBARISLANDS,45.67654738135463,45.191653436153324,43.4641932700604,46.8359375,47.10889816896884,47.36447664251811,46.57694156423814,43.937225940456955,44.78557824916267,45.64629667414813,46.15146905010935,43.74083925954074,35.43234526186454,5.148559764118848,10.440034512510785,21.6015625,-3.5576614198522325,21.267382796236156,48.76742429444482,40.567735979690745,28.74499244762593,7.294429708222812,-12.42274412855377,18.480369246937148,45.5400047613926,4.421584061668748,0.0,20.655773302209436,0.0,25.077357363878185,3,5,0
NORTHMIDDLEANDAMAN,ANDAMANNICOBARISLANDS,16.43091870267181,16.468341413251064,12.700029095141112,25.832546851826883,30.224924012158056,32.84132841328413,34.627797471033276,40.60665636848757,44.05272838749234,45.886706518645035,46.92225388919925,48.04681951191795,-2.743249035576511,0.9842808873218746,7.899330811754437,10.893892409329919,-11.03951367781155,158.31624982916495,88.37627638749272,64.90942283387164,43.592887798896385,25.26449378498909,-0.015149650137767132,35.13081112539047,32.88675421959237,4.471717946532572,0.17235338125136132,22.07922573557961,0.6060778241806112,27.329374887544155,0,5,1
SOUTHANDAMAN,ANDAMANNICOBARISLANDS,16.428763802854835,16.457448772383238,12.705667276051189,25.825851262070135,30.234512260331524,32.846715328467155,36.28506847493684,36.51556262205555,42.15584859045305,44.359524248922945,45.190458145257615,46.55163725844244,-2.7381273004758055,0.9784013291489755,7.915904936014625,10.884296120616636,-11.045756626690093,158.34263632460284,92.33811993086026,72.0806041857491,57.81803938897872,32.66493149464494,14.232675048328066,39.40652043925257,32.12975483685221,2.0172838054606075,4.121490539258089,10.66338571104635,17.26196974914127,34.064129804906315,0,5,1
ADILABAD,ANDHRAPRADESH,49.767193511741404,49.39422406111637,48.83712088653209,48.88600590613263,49.342754165465706,50.19396344396345,49.514114844861545,49.38789830076967,49.482185574350936,49.48270786884286,49.72039824710822,50.03730065127484,27.24528069716699,4.467683891333329,15.30934072110076,8.423119928897044,9.950842083830246,21.367484367484366,27.64868838750332,27.322431516950388,26.952868767511443,19.473137544244143,10.178283547085755,18.030832859373433,49.5038222885133,12.15464977698041,1.6409732971112698,14.910629828336749,5.586269566425985,34.292522468854415,4,4,2
NIZAMABAD,ANDHRAPRADESH,50.14485832537409,50.14501248197396,50.40242136928655,49.75536526707618,49.84324727947555,50.463793109668764,50.17647573102604,49.96535360642306,50.31824457352965,50.431753500773695,50.423650234366505,50.98091783321281,-19.017249862522068,-3.3516378458453877,20.700525653091148,11.600006127357117,14.134785377798764,22.425867064014632,29.006362556692768,27.90100725822909,21.30985429988873,15.11880766835442,8.767161831192167,13.508680920750125,50.25425777601558,14.581425018666698,1.9494107986603093,15.882077422212292,4.6668508839489915,37.07976412348829,1,4,2
KARIMNAGAR,ANDHRAPRADESH,47.86474414621942,48.22257288761303,48.700275817344064,48.9192143400771,49.146622218054716,49.53198783336414,49.89309380425096,49.61261308968557,49.848891136355896,49.636278158977525,49.94109092616978,50.19422609988854,35.32703554228814,-3.0288561385529422,13.349519421303988,9.224952807782433,15.446323774295037,13.538113163157275,21.11685676666574,24.05358037565532,24.67501230337685,14.95763272653767,8.146091066497663,16.07329652809156,49.292634204833384,13.192148122922386,2.230587916273973,15.985195969884561,5.572113639150177,36.9800456482311,4,4,2
MEDAK,ANDHRAPRADESH,49.41237636498771,49.384505412969645,49.4167546320289,49.47606487334874,49.17342724609569,49.76930862575775,49.90726211474833,49.65298403753822,49.54079348627859,49.243149176138864,49.348431910900615,49.78946938108086,44.71710451089132,-3.0434605474821574,16.82479209826994,9.683480838819374,10.747234489090989,10.590627344150974,19.102381651691758,23.106807889129286,25.601849110666087,17.635782888360207,13.602165014978857,17.14261502623333,49.50954393848949,12.391339035396573,1.6510136854792554,16.058020207774533,5.3831353963092194,35.48350832495958,4,4,2
HYDERABAD,ANDHRAPRADESH,48.546531431708615,48.66405403683171,48.876036292921874,48.06066468667176,48.5642398154886,49.68891710669839,48.159722338772205,47.853453994688174,47.923931001608615,48.274616894987474,48.26890924819433,48.81030542007338,25.774922758184026,-11.280029312432294,5.620985683580739,37.83858678004886,33.65162372500894,9.969602282689543,41.17052736164771,33.80671753401923,39.75683793356668,21.736403661990902,2.965465396854575,21.910149436832626,48.47428185572043,0.0,5.279887039433493,0.0,19.59973859610283,24.879625635536325,3,0,3
RANGAREDDY,ANDHRAPRADESH,48.54644055414653,48.664213763270624,48.875965513418194,48.060523658612176,48.564284445024676,49.742772951002046,49.637787747297196,49.064424891705826,48.87083753467085,48.48834192932038,48.55401190020654,49.006228546949906,25.774942043201747,-11.279998688453945,5.621228360092288,37.83828366341088,33.651736530420564,18.059618066672815,27.495725159961758,43.46882047233023,60.324044843584595,40.09058114410615,48.157935074728734,29.927537879095983,48.83965278630208,4.346483998368053,4.578135876381345,6.39825507798097,15.845063974243786,31.167938926974152,4,2,3
MAHBUBNAGAR,ANDHRAPRADESH,49.49946304337676,49.27260188174623,49.395023125067695,49.20233651944459,49.222810594988246,49.90761036311822,50.08185147791582,49.692507874924566,49.575618941029255,49.31457077395557,49.27793179951587,49.41100826345142,17.97368912546108,-2.2527919957018057,18.844728506947643,11.4840543961351,10.56236500894274,9.919896733677371,21.46218675464548,26.527704310686605,25.870329895987883,14.19814432654653,15.341608578874846,15.448355967473043,49.487777888211184,15.995621051717382,1.2983626069200607,19.14640115982421,3.2786598069394044,39.719044625401054,4,4,2
